timestamp,energy_level
358,19641.0
359,19640.0
360,19639.0
361,19638.0
362,19637.0
363,19636.0
364,19635.0
365,19634.0
366,19633.0
367,19632.0
368,19631.0
369,19630.0
370,19629.0
371,19628.0
372,19627.0
373,19626.0
374,19625.0
375,19624.0
376,19623.0
377,19622.0
378,19621.0
379,19620.0
380,19619.0
381,19618.0
382,19617.0
383,19616.0
384,19615.0
385,19614.0
386,19613.0
387,19612.0
388,19611.0
389,19610.0
390,19609.0
391,19608.0
392,19607.0
393,19606.0
394,19605.0
395,19604.0
396,19603.0
397,19602.0
398,19601.0
399,19600.0
400,19599.0
401,19598.0
402,19597.0
403,19596.0
404,19595.0
405,19594.0
406,19593.0
407,19592.0
408,19591.0
409,19590.0
410,19589.0
411,19588.0
412,19587.0
413,19586.0
414,19585.0
415,19584.0
416,19583.0
417,19582.0
418,19581.0
419,19580.0
420,19579.0
421,19578.0
422,19577.0
423,19576.0
424,19575.0
425,19574.0
426,19573.0
427,19572.0
428,19571.0
429,19570.0
430,19569.0
431,19568.0
432,19567.0
433,19566.0
434,19565.0
435,19564.0
436,19563.0
437,19562.0
438,19561.0
439,19560.0
440,19559.0
441,19558.0
442,19557.0
443,19556.0
444,19555.0
445,19554.0
446,19553.0
447,19552.0
448,19551.0
449,19550.0
450,19549.0
451,19548.0
452,19547.0
453,19546.0
